-2029, 17158, 2159
-2313, 15082, 1512
-1724, 13780, 1236
-927, 11228, 1521
-1060, 7211, 1775
-1292, 5306, 1478
-798, 2931, 458
-147, -545, -128
439, -4924, -235
1225, -9786, -612
2123, -15393, -1309
2695, -18703, -2366
2437, -20205, -3130
2298, -21606, -3346
2741, -21316, -2941
2703, -20660, -2537
2340, -20648, -2341
1962, -20394, -1985
2400, -22231, -1698
2401, -23124, -1477
1882, -21858, -1078
1588, -18624, -508
1063, -15267, -432
1137, -13740, -513
1196, -14687, -663
932, -13857, -379
584, -10586, -78
255, -6290, -164
195, -2335, -54
9, 512, 160
-293, 2836, 290
-689, 4338, 411
-718, 5695, 470
-676, 6646, 454
-741, 7265, 518
-1140, 8050, 887
-1392, 8420, 1250
-1209, 8001, 1670
-618, 6070, 1807
-98, 4231, 1715
82, 3008, 1303
111, 2369, 1091
89, 2237, 1380
50, 2515, 1627
131, 2051, 1642
61, 1126, 1560
-69, 432, 1260
-214, 536, 1008
-316, 436, 983
-153, 285, 1137
-183, 494, 1126
-95, 724, 822
-181, 686, 631
-280, 1091, 581
-480, 1044, 391
-506, 894, 332
-256, 249, 270
-224, 297, 132
-336, 403, -29
-64, -300, 15
79, -805, -102
140, -439, -165
-5, -146, -25
109, 13, -103
174, -70, -123
156, -187, -35
207, -486, 171
106, -568, 253
31, -289, 354
-145, -138, 527
-70, -191, 458
13, -278, 411
37, -89, 367
75, -192, 324
44, -162, 472
225, -373, 518
310, -526, 488
231, -239, 249
10, 179, 20
9, 398, 2
97, 109, 170
171, -249, 283
136, -435, 414
20, -55, 183
2, 281, -202
-24, 13, -77
59, -120, 140
96, -234, 311
183, -314, 299
71, -148, -74
160, -87, -366
180, 138, -380
154, 211, -144
-33, 94, -208
-162, 310, -547
-108, 384, -1211
-134, 528, -1947
-207, 699, -2727
-229, 1035, -3494
-306, 895, -4412
-284, 595, -5623
-227, 284, -6794
-165, 218, -8058
-232, 401, -9165
-80, 452, -10042
-79, 489, -10688
-110, 277, -11002
-223, 971, -11096
-26, 1725, -11478
29, 1506, -11610
147, 1511, -11690
249, 1754, -11454
727, 1681, -11040
1135, 635, -10153
1166, 45, -9352
1008, 347, -7910
1106, 772, -6229
1154, 490, -4510
921, 444, -2316
827, 898, -263
898, 987, 1902
983, 318, 4158
912, 317, 5849
869, 861, 7755
988, 1436, 10227
891, 1995, 12519
957, 1952, 14036
1069, 2155, 15343
838, 1914, 17142
239, 1990, 17737
-935, 2778, 17873
-1723, 2950, 17709
-1683, 1825, 17706
